Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
The Shawshank Redemption,Drama,1.0,0.7222222222222223,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Frank Darabont,drama two imprisoned men bond number year finding solace eventual redemption act common decency tim robbins frank darabont
The Godfather,"Crime, Drama",0.9411764705882346,1.0,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Marlon Brando,Al Pacino,James Caan,Diane Keaton,Francis Ford Coppola,crime drama organized crime dynasty aging patriarch transfer control clandestine empire reluctant son marlon brando francis ford coppola
The Dark Knight,"Action, Crime, Drama",0.8235294117647056,0.7777777777777777,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Christopher Nolan,action crime drama menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice christian bale christopher nolan
The Godfather: Part II,"Crime, Drama",0.8235294117647056,0.8611111111111112,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,Francis Ford Coppola,crime drama early life career vito corleone 1920s new york city portrayed son michael expands tightens grip family crime syndicate al pacino francis ford coppola
12 Angry Men,"Crime, Drama",0.8235294117647056,0.9444444444444444,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,Sidney Lumet,crime drama jury holdout attempt prevent miscarriage justice forcing colleague reconsider evidence henry fonda sidney lumet
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",0.7647058823529411,0.9166666666666667,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,Peter Jackson,action adventure drama gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring elijah wood peter jackson
Pulp Fiction,"Crime, Drama",0.7647058823529411,0.9166666666666667,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,Quentin Tarantino,crime drama life two mob hitman boxer gangster wife pair diner bandit intertwine four tale violence redemption john travolta quentin tarantino
Schindler's List,"Biography, Drama, History",0.7647058823529411,0.9166666666666667,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,Steven Spielberg,biography drama history germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazi liam neeson steven spielberg
Inception,"Action, Adventure, Sci-Fi",0.7058823529411766,0.6388888888888888,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,Christopher Nolan,action adventure scifi thief steal corporate secret use dreamsharing technology given inverse task planting idea mind ceo leonardo dicaprio christopher nolan
Fight Club,Drama,0.7058823529411766,0.5277777777777778,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,David Fincher,drama insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much brad pitt david fincher
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",0.7058823529411766,0.8888888888888888,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,Peter Jackson,action adventure drama meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron elijah wood peter jackson
Forrest Gump,"Drama, Romance",0.7058823529411766,0.75,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Tom Hanks,Robin Wright,Gary Sinise,Sally Field,Robert Zemeckis,drama romance presidency kennedy johnson event vietnam watergate historical event unfold perspective alabama man iq 75 whose desire reunited childhood sweetheart tom hank robert zemeckis
"Il buono, il brutto, il cattivo",Western,0.7058823529411766,0.8611111111111112,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,Sergio Leone,western bounty hunting scam join two men uneasy alliance third race find fortune gold buried remote cemetery clint eastwood sergio leone
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",0.6470588235294112,0.8194444444444444,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,Peter Jackson,action adventure drama frodo sam edge closer mordor help shifty gollum divided fellowship make stand saurons new ally saruman horde isengard elijah wood peter jackson
The Matrix,"Action, Sci-Fi",0.6470588235294112,0.625,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Lana Wachowski,action scifi beautiful stranger lead computer hacker neo forbidding underworld discovers shocking truththe life know elaborate deception evil cyberintelligence lilly wachowski lana wachowski
Goodfellas,"Biography, Crime, Drama",0.6470588235294112,0.8611111111111112,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Martin Scorsese,biography crime drama story henry hill life mob covering relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate robert de niro martin scorsese
